#    L    TT             EE             TE             PP             TP          
   100   0.263817E+04   0.732785E+00  -0.225589E+02   0.429442E+07   0.651447E+04
   101   0.266887E+04   0.746654E+00  -0.231940E+02   0.426667E+07   0.643612E+04
   102   0.270008E+04   0.760303E+00  -0.238289E+02   0.423906E+07   0.635936E+04
   103   0.273121E+04   0.773807E+00  -0.244644E+02   0.421162E+07   0.628412E+04
   104   0.276256E+04   0.787165E+00  -0.250975E+02   0.418433E+07   0.621032E+04
   105   0.279406E+04   0.800306E+00  -0.257298E+02   0.415721E+07   0.613787E+04
   106   0.282577E+04   0.813304E+00  -0.263605E+02   0.413025E+07   0.606670E+04
   107   0.285740E+04   0.826011E+00  -0.269882E+02   0.410347E+07   0.599673E+04
   108   0.288941E+04   0.838502E+00  -0.276137E+02   0.407686E+07   0.592789E+04
   109   0.292156E+04   0.850704E+00  -0.282356E+02   0.405042E+07   0.586009E+04
   110   0.295379E+04   0.862617E+00  -0.288523E+02   0.402417E+07   0.579325E+04
   111   0.298616E+04   0.874316E+00  -0.294654E+02   0.399809E+07   0.572732E+04
   112   0.301868E+04   0.885727E+00  -0.300741E+02   0.397220E+07   0.566227E+04
   113   0.305143E+04   0.896852E+00  -0.306769E+02   0.394649E+07   0.559811E+04
   114   0.308424E+04   0.907615E+00  -0.312732E+02   0.392096E+07   0.553484E+04
   115   0.311728E+04   0.918166E+00  -0.318627E+02   0.389562E+07   0.547246E+04
   116   0.315031E+04   0.928281E+00  -0.324449E+02   0.387046E+07   0.541097E+04
   117   0.318363E+04   0.938037E+00  -0.330189E+02   0.384548E+07   0.535037E+04
   118   0.321709E+04   0.947581E+00  -0.335855E+02   0.382069E+07   0.529067E+04
   119   0.325055E+04   0.956766E+00  -0.341423E+02   0.379607E+07   0.523186E+04
   120   0.328414E+04   0.965442E+00  -0.346895E+02   0.377165E+07   0.517394E+04
   121   0.331773E+04   0.973909E+00  -0.352269E+02   0.374740E+07   0.511691E+04
   122   0.335138E+04   0.981868E+00  -0.357539E+02   0.372334E+07   0.506079E+04
   123   0.338509E+04   0.989394E+00  -0.362703E+02   0.369946E+07   0.500555E+04
   124   0.341886E+04   0.996563E+00  -0.367733E+02   0.367576E+07   0.495122E+04
   125   0.345262E+04   0.100330E+01  -0.372650E+02   0.365225E+07   0.489778E+04
   126   0.348644E+04   0.100968E+01  -0.377446E+02   0.362892E+07   0.484524E+04
   127   0.352024E+04   0.101555E+01  -0.382115E+02   0.360578E+07   0.479360E+04
   128   0.355403E+04   0.102107E+01  -0.386648E+02   0.358281E+07   0.474286E+04
   129   0.358787E+04   0.102608E+01  -0.391037E+02   0.356004E+07   0.469302E+04
   130   0.362169E+04   0.103059E+01  -0.395276E+02   0.353744E+07   0.464408E+04
   131   0.365549E+04   0.103474E+01  -0.399379E+02   0.351503E+07   0.459604E+04
   132   0.368935E+04   0.103839E+01  -0.403316E+02   0.349281E+07   0.454888E+04
   133   0.372312E+04   0.104160E+01  -0.407110E+02   0.347076E+07   0.450256E+04
   134   0.375687E+04   0.104439E+01  -0.410718E+02   0.344890E+07   0.445706E+04
   135   0.379061E+04   0.104668E+01  -0.414168E+02   0.342721E+07   0.441235E+04
   136   0.382418E+04   0.104846E+01  -0.417425E+02   0.340570E+07   0.436840E+04
   137   0.385774E+04   0.104982E+01  -0.420511E+02   0.338437E+07   0.432519E+04
   138   0.389121E+04   0.105067E+01  -0.423411E+02   0.336322E+07   0.428269E+04
   139   0.392446E+04   0.105117E+01  -0.426119E+02   0.334224E+07   0.424087E+04
   140   0.395776E+04   0.105110E+01  -0.428641E+02   0.332143E+07   0.419970E+04
   141   0.399084E+04   0.105052E+01  -0.430958E+02   0.330079E+07   0.415915E+04
   142   0.402391E+04   0.104952E+01  -0.433075E+02   0.328033E+07   0.411921E+04
   143   0.405690E+04   0.104809E+01  -0.434994E+02   0.326004E+07   0.407983E+04
   144   0.408967E+04   0.104616E+01  -0.436707E+02   0.323991E+07   0.404099E+04
   145   0.412228E+04   0.104388E+01  -0.438208E+02   0.321995E+07   0.400267E+04
   146   0.415496E+04   0.104102E+01  -0.439496E+02   0.320016E+07   0.396484E+04
   147   0.418728E+04   0.103782E+01  -0.440558E+02   0.318054E+07   0.392746E+04
   148   0.421945E+04   0.103412E+01  -0.441408E+02   0.316107E+07   0.389052E+04
